question,ground_truth
"What is Microsoft's mission?","Microsoft's mission is to empower every person and every organization on the planet to achieve more."
"What is Microsoft's vision for AI?","Microsoft aims to make artificial intelligence broadly available and use it responsibly to empower people and organizations."
"What is Microsoft’s primary business?","Microsoft develops and supports technology platforms, software, cloud services, AI solutions, and devices."
"What are Microsoft's major business segments?","Microsoft operates through Productivity and Business Processes, Intelligent Cloud, and More Personal Computing."
"What is Azure?","Azure is Microsoft's cloud computing platform that provides computing, storage, networking, AI, and other cloud services."
"What is Microsoft 365?","Microsoft 365 is a productivity platform that includes Office applications, Teams, Outlook, OneDrive, and other collaboration services."
"What is Copilot?","Microsoft Copilot is an AI-powered assistant integrated across Microsoft products to improve productivity."
"What is GitHub?","GitHub is Microsoft's software development platform used for version control and collaborative software development."
"What is LinkedIn?","LinkedIn is Microsoft's professional networking platform."
"What products are included in More Personal Computing?","Windows, Xbox, Surface devices, Search and News, and related services."
"What products are included in Productivity and Business Processes?","Microsoft 365, Dynamics 365, LinkedIn, and related cloud services."
"What services are included in Intelligent Cloud?","Azure, Windows Server, SQL Server, GitHub, Nuance, and enterprise cloud services."
"What is Microsoft's AI strategy?","Microsoft integrates AI across every layer of its technology stack, including cloud infrastructure, developer tools, productivity applications, and business solutions."
"How is Microsoft investing in AI?","Microsoft invests in AI infrastructure, cloud platforms, AI models, and Copilot experiences."
"What does Microsoft say about responsible AI?","Microsoft is committed to developing and deploying AI responsibly while ensuring safety, security, and trust."
"What is Microsoft's mission statement?","To empower every person and every organization on the planet to achieve more."
"What industries does Microsoft serve?","Microsoft serves individuals, businesses, governments, education, healthcare, developers, and enterprises."
"What is Dynamics 365?","Dynamics 365 is Microsoft's suite of intelligent business applications for ERP and CRM."
"What is the purpose of Microsoft Teams?","Microsoft Teams provides communication, collaboration, meetings, and teamwork capabilities."
"What is Microsoft's cloud strategy?","Microsoft focuses on delivering secure, scalable, AI-powered cloud services through Azure."
"What role does AI play in Microsoft's products?","AI is integrated into Microsoft products to improve productivity, automation, security, and decision making."
"What is Windows?","Windows is Microsoft's operating system for personal computers and enterprise devices."
"What is Surface?","Surface is Microsoft's family of personal computing devices."
"What is Xbox?","Xbox is Microsoft's gaming platform including consoles, games, subscriptions, and cloud gaming."
"What is Microsoft's approach to security?","Microsoft prioritizes security, compliance, privacy, and responsible AI across its platforms."
"What are Microsoft's core values according to the report?","Microsoft focuses on innovation, trust, security, responsible AI, customer success, and empowering people."
"What does Microsoft say about innovation?","Microsoft continuously innovates by investing in AI, cloud computing, developer platforms, and productivity technologies."
"How does Microsoft support developers?","Microsoft supports developers through GitHub, Azure AI, Visual Studio, and cloud development tools."
"What is Microsoft's long-term growth strategy?","Microsoft's long-term strategy focuses on AI, cloud computing, productivity, security, and digital transformation."
"What technologies does Microsoft consider strategic?","Artificial intelligence, cloud computing, cybersecurity, productivity software, developer platforms, and business applications."
